sequence,model_type,latent_dim,run_name,status,started_at,finished_at,elapsed_seconds,elapsed_hhmmss,return_code,existing_run_action,note,log_file
11,autodecoder,1,stageB_autodecoder--latent_dim_1,completed,2026-06-11T00:35:25+08:00,2026-06-11T06:51:02+08:00,22536.9697821,06:15:37,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\011_autodecoder_latent_dim_1.log
12,autodecoder,2,stageB_autodecoder--latent_dim_2,completed,2026-06-11T06:51:02+08:00,2026-06-11T12:34:25+08:00,20602.811478899966,05:43:23,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\012_autodecoder_latent_dim_2.log
13,autodecoder,4,stageB_autodecoder--latent_dim_4,completed,2026-06-11T12:34:25+08:00,2026-06-11T18:13:51+08:00,20366.661183500022,05:39:27,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\013_autodecoder_latent_dim_4.log
14,autodecoder,8,stageB_autodecoder--latent_dim_8,completed,2026-06-11T18:13:51+08:00,2026-06-12T07:35:27+08:00,48094.1517785,13:21:34,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\014_autodecoder_latent_dim_8.log
15,autodecoder,16,stageB_autodecoder--latent_dim_16,completed,2026-06-12T07:35:27+08:00,2026-06-13T19:44:41+08:00,130154.5238814,36:09:15,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\015_autodecoder_latent_dim_16.log
16,autodecoder,32,stageB_autodecoder--latent_dim_32,completed,2026-06-13T19:44:41+08:00,2026-06-14T18:03:49+08:00,80345.6157950001,22:19:06,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\016_autodecoder_latent_dim_32.log
17,autodecoder,64,stageB_autodecoder--latent_dim_64,completed,2026-06-14T18:03:49+08:00,2026-06-15T13:24:13+08:00,69624.19905129995,19:20:24,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\017_autodecoder_latent_dim_64.log
18,autodecoder,128,stageB_autodecoder--latent_dim_128,completed,2026-06-15T13:24:13+08:00,2026-06-16T15:43:14+08:00,94739.0897594,26:18:59,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\018_autodecoder_latent_dim_128.log
19,autodecoder,256,stageB_autodecoder--latent_dim_256,completed,2026-06-16T15:43:14+08:00,2026-06-17T19:22:56+08:00,99580.07995240006,27:39:40,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\019_autodecoder_latent_dim_256.log
20,autodecoder,512,stageB_autodecoder--latent_dim_512,failed,2026-06-17T19:22:56+08:00,2026-06-18T08:49:55+08:00,48419.083988699946,13:26:59,1,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\020_autodecoder_latent_dim_512.log
