sequence,model_type,latent_dim,run_name,run_directory,command
11,autodecoder,1,stageB_autodecoder--latent_dim_1,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_1,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 1 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
12,autodecoder,2,stageB_autodecoder--latent_dim_2,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_2,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 2 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
13,autodecoder,4,stageB_autodecoder--latent_dim_4,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_4,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 4 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
14,autodecoder,8,stageB_autodecoder--latent_dim_8,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_8,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 8 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
15,autodecoder,16,stageB_autodecoder--latent_dim_16,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_16,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 16 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
16,autodecoder,32,stageB_autodecoder--latent_dim_32,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_32,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 32 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
17,autodecoder,64,stageB_autodecoder--latent_dim_64,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_64,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 64 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
18,autodecoder,128,stageB_autodecoder--latent_dim_128,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_128,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 128 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
19,autodecoder,256,stageB_autodecoder--latent_dim_256,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_256,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 256 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
20,autodecoder,512,stageB_autodecoder--latent_dim_512,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\stageB_autodecoder--latent_dim_512,D:\anaconda3\python.exe -u D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B策略_模型训练2主模型+.py train --feature_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18A步骤处理ALL --output_root D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+ --model_type autodecoder --latent_dim 512 --encoder_input_size 128 --eval_grid_size 256 --batch_size 4 --epochs 5000 --learning_rate 5e-05 --latent_learning_rate 0.005 --points_per_sample 4096 --seed 42 --num_workers 0 --patience 20 --save_every 10 --plot_every 10 --scheduler_type none --scheduler_factor 0.5 --scheduler_patience 10 --min_learning_rate 1e-07
